epoch,total_loss,data_loss,physics_loss
15850,3.819781e-01,8.250201e-05,3.818956e-01
15900,3.762956e-01,8.530826e-05,3.762103e-01
15950,3.771392e-01,9.987444e-05,3.770393e-01
16000,3.799116e-01,1.018352e-04,3.798098e-01
16050,3.785191e-01,8.179500e-05,3.784373e-01
16100,3.776080e-01,8.195105e-05,3.775260e-01
16150,3.785361e-01,9.984212e-05,3.784363e-01
16200,3.789974e-01,8.258812e-05,3.789148e-01
16250,3.769911e-01,1.033146e-04,3.768877e-01
16300,3.792721e-01,9.398036e-05,3.791782e-01
16350,3.798167e-01,1.013841e-04,3.797154e-01
16400,3.809826e-01,1.085023e-04,3.808741e-01
16450,3.790181e-01,9.774984e-05,3.789204e-01
16500,3.776259e-01,8.243491e-05,3.775434e-01
16550,3.792171e-01,8.293762e-05,3.791341e-01
16600,3.786472e-01,8.269635e-05,3.785645e-01
16650,3.793552e-01,1.542613e-04,3.792009e-01
16700,3.792475e-01,8.214921e-05,3.791654e-01
16750,3.798408e-01,8.291481e-05,3.797579e-01
16800,3.809161e-01,1.200621e-03,3.797155e-01
16850,3.783108e-01,8.165007e-04,3.774943e-01
16900,3.775820e-01,8.777891e-05,3.774943e-01
16950,3.775788e-01,8.449862e-05,3.774943e-01
17000,3.803774e-01,8.416720e-05,3.802932e-01
17050,3.777348e-01,8.383291e-05,3.776510e-01
17100,3.777353e-01,8.424696e-05,3.776510e-01
17150,3.803772e-01,8.402042e-05,3.802932e-01
17200,3.782925e-01,8.363020e-05,3.782088e-01
17250,3.777347e-01,8.367999e-05,3.776510e-01
17300,3.777342e-01,8.314782e-05,3.776510e-01
17350,3.777214e-01,8.318911e-05,3.776382e-01
17400,3.777218e-01,8.360540e-05,3.776382e-01
17450,3.777210e-01,8.283538e-05,3.776382e-01
17500,3.777339e-01,8.287058e-05,3.776510e-01
17550,3.777208e-01,8.259092e-05,3.776382e-01
17600,3.777210e-01,8.277752e-05,3.776382e-01
17650,3.813154e-01,8.187197e-05,3.812335e-01
17700,3.787767e-01,8.192062e-05,3.786948e-01
17750,3.803751e-01,8.193507e-05,3.802932e-01
17800,3.777202e-01,8.199333e-05,3.776382e-01
17850,3.803750e-01,8.184134e-05,3.802932e-01
17900,3.787867e-01,9.190963e-05,3.786948e-01
17950,3.777474e-01,1.092021e-04,3.776382e-01
18000,3.808251e-01,8.190898e-05,3.807432e-01
18050,3.787763e-01,8.152960e-05,3.786948e-01
18100,3.777197e-01,8.150884e-05,3.776382e-01
18150,3.787944e-01,9.959607e-05,3.786948e-01
18200,3.777206e-01,8.242700e-05,3.776382e-01
18250,3.777241e-01,8.591846e-05,3.776382e-01
18300,3.777199e-01,8.175322e-05,3.776382e-01
18350,3.777216e-01,8.342534e-05,3.776382e-01
18400,3.777210e-01,8.280959e-05,3.776382e-01
18450,3.777450e-01,1.068496e-04,3.776382e-01
18500,3.777202e-01,8.202689e-05,3.776382e-01
18550,3.787988e-01,1.040167e-04,3.786948e-01
18600,3.777370e-01,8.593682e-05,3.776510e-01
18650,3.811682e-01,4.250022e-04,3.807432e-01
18700,3.777195e-01,8.130803e-05,3.776382e-01
18750,3.777197e-01,8.149841e-05,3.776382e-01
18800,3.777201e-01,8.194084e-05,3.776382e-01
18850,3.777195e-01,8.133936e-05,3.776382e-01
18900,3.813222e-01,8.869009e-05,3.812335e-01
18950,3.783142e-01,1.053739e-04,3.782088e-01
19000,3.813542e-01,1.206884e-04,3.812335e-01
19050,3.777243e-01,8.609967e-05,3.776382e-01
19100,3.813149e-01,8.142745e-05,3.812335e-01
19150,3.787765e-01,8.172801e-05,3.786948e-01
19200,3.813277e-01,9.427864e-05,3.812335e-01
19250,3.814861e-01,2.526018e-04,3.812335e-01
19300,3.787809e-01,8.612489e-05,3.786948e-01
19350,3.779541e-01,3.030962e-04,3.776510e-01
19400,3.777212e-01,8.300099e-05,3.776382e-01
19450,3.777200e-01,8.184466e-05,3.776382e-01
19500,3.777290e-01,9.083698e-05,3.776382e-01
